〜	~
이싱	이상
이없	이 없
이이 	이 이 
이있	이 있
爾積	鬱積
이조건	이 조건
이좋	이 좋
이특징	이 특징
이포함	이 포함
이한다	이 한다
익 기탕	익기탕
익 히	익히
익：>1탕	익기탕
益«1湯	益氣湯
익기 탕	익기탕
益氣渗	益氣湯
益氣游	益氣湯
益氣淸	益氣湯
익기팅	익기탕
茵 i莱萬	茵蔯蒿
人 之	人之
人 參	人參
인 플루	인플루
人\^	사
人F용	사용
인경우	인 경우
인괴론	인과론
人棄臓	人稟臓
茵끓萬	茵蔯蒿
人爹	人蔘
茵藤	茵蔯
人幕	人蔘
寅脈	實脈
人夢	人蔘
人夢湯	人蔘湯
茵薩	茵蔯
人蔘끓	人蔘湯
人蔘游	人蔘湯
인삼人¥	인삼人蔘
人蔘場	人蔘湯
人蔘황	人蔘湯
人赛	人蔘
茵蔬	茵蔯
茵蔬萬	茵蔯蒿
茵蔬嵩	茵蔯蒿
人않의학	사상의학
咽嚼	咽嗌
인증상	인 증상
茵陳	茵蔯
茵陳舊	茵蔯蒿
茵蔯萬	茵蔯蒿
茵陳萬	茵陳蒿
茵陳萬	茵蔯蒿
茵蔯嵩	茵蔯蒿
茵陳嵩	茵蔯蒿
茵蔯惹	茵蔯蒿
人參	人蔘
茵草	茜草
姻蟲	蛔蟲
인판단	인 판단
茵片	苞片
茵蔽萬	茵蔯蒿
茵표萬	茵蔯蒿
姻虫	蛔蟲
日 喃	日晡
일 본	일본
日 分	日分
일 수록	일수록
日 수용체	β 수용체
일 어	일어
일 주일	일주일
일 째	일째
일 치 	일치 
일것	일 것
日喃	日晡
一滅	一鍼
일반 적	일반적
일븐	일본
일어 나	일어나
일지나	일 지나
任 脈	任脈
임 상	임상
임 파	임파
妊娠	姙娠
임싱	임상
入\|•물탕	사물탕
入臉	入腋
入蔽	入腋
있 	있
있 다	있다
있는	있는 
있는다	있는 다
있도 톡	있도록
있디	있다
있어 서	있어서
잎드	엎드
资	資
자 궁	자궁
자 극	자극
自 利	自利
刺 滅	刺鍼
자 살	자살
자 세	자세
자 연	자연
刺 入	刺入
자 주 	자주 
自 汗	自汗
刺M	刺鍼
紫金鍵	紫金錠
紫紐	紫紺
茨茶	茯苓
藉藤	蘿菔
雌藤	雌蕊
雌蓝	雌蕊
紫綠	紫絳
자면이 	자면 이 
刺滅	刺鍼
刺誠	刺鍼
雌蘇	雌蕊
자아이	지이•이
자을 신경	자율신경
자이•	자아
子滴	子癎
藉節	藕節
자주사	자주 사
자주한	자주 한
刺織	刺鍼
茨층	茯苓
子骸	子髎
茨홉	茯苓
茨흉	茯苓
작 약	작약
芍 藥	芍藥
작 용	작용
嚼斜	喎斜
작약 감초탕	작약감초탕
芍藥끓	芍藥湯
芍藥淸	芍藥湯
작약팅	작약탕
芍藥港	芍藥湯
芍藥황	芍藥湯
雀咏	雀啄
작용등	작용 등
嚼吐	嘔吐
잘내	잘 내
잘되	잘 되
赚	風府
잡 아	잡아
잡하면	잡히면
獎	漿
臓	臟
蔵	藏
장 애	장애
장 요근	장요근
張 元	張元
張 仲	張仲
场谷	陽谷
獎果	漿果
臓膽	臟腑
腸瘤	腸癰
張滿	脹滿
장많	장 많
牆脈	蹻脈
長滅	長鍼
场明	陽明
墙味	矯味
臟膝	臟腑
脏娠	姙娠
赃娠	姙娠
腸擁	腸癰
腸癒	腸癰
藏而不淸	藏而不瀉
張子 和	張子和
赃蟲	蟅蟲
臓脆	臓腑
張痛	脹痛
臓贿	臟腑
재 료	재료
再 發	再發
才L	朮
才ᄂ	朮
齋香	麝香
在賢	在腎
猪 膽	猪膽
低 下	低下
저 항	저항
抵 抗	抵抗
猪茶	猪苓
저령 탕	저령탕
著墓朮甘	苓薑朮甘
姐娠	姙娠
猪爷	猪苓
著었仁	薏苡仁
她緩	弛緩
猪측	猪苓
猪품	猪苓
貯疲	貯痰
著했仁	薏苡仁
猪혼	猪苓
猪휴	猪苓
猪흉	猪苓
积	枳
적 당	적당
积 實	枳實
적 용	적용
적 이	적이
적 인 	적인 
적 절	적절
滴肝	瀉肝
积穀	枳穀
赤獨	赤濁
赤铜	赤痢
積鼻	犢鼻
赤小료	赤小豆
积實	枳實
滴心	瀉心
적藥	芍藥
赤与	赤芍
摘圓	橢圓
滴疾	癎疾
敵瘡	斂瘡
积朮	枳朮
적춰	적취
積疲	積痰
적합 한 	적합한 
填	瀉
填	塡
전 립	전립
전 방	전방
전 신	전신
전 체	전체
전 해	전해
전 화	전화
前經骨	前脛骨
戰棵	戰慄
癲狂瘤	癲狂癎
癲狂痴	癲狂癎
錢灸	鍼灸
전딜•	전달
電滅	電鍼
殿粉	澱粉
全赐	全蝎
電誠	電鍼
전이 되	전이되
傳靑主	傅靑主
전체 적	전체적
絕	絶
绝	絶
절 염	절염
截瘡	截瘧
절혼	절흔
漸熱	潮熱
접 근	접근
正 格	正格
정 도 	정도
정 돈	정돈
정 리	정리
정 말	정말
정 맥	정맥
정 상	정상
정 서	정서
精 神	精神
정 액	정액
征 仲	怔忡
情 志	情志
정 체	정체
정 형 	정형 
정 확	정확
정4!	정신
정t!	정신
정기\(精췄	정기(精氣
정도전후	정도 전후
정도혹은	정도 혹은
郑門	郄門
精米	糯米
靜譜	靜謐
정상 적	정상적
정신 과 	정신과 
정藥	芍藥
井榮	井滎
聤耳	聤耳
征仲	怔忡
제 어	제어
제 한	제한
齊IJ	劑
除谷	陰谷
诸茶	猪苓
诸膽	猪膽
蹄脾	歸脾
제상\(脑소	제상(臍上
臍上淨	臍上悸
挤蘇	疥癬
济蘇	疥癬
诸爷	猪苓
济癒	疥癬
诸측	猪苓
济痴	疥癬
诸휴	猪苓
诸흑淸	猪苓湯
졌 	졌
罩	覃
조 미료	조미료
조 직	조직
助間	肋間
助骨	肋骨
조구 등	조구등
燥尿	燥屎
躁磨	躁鬱
助膜	肋膜
躁蠻	躁鬱
조미 료	조미료
躁部	踝部
釣膝散	釣藤散
措溺	搐搦
조직회	조직화
條측	條芩
燥疲	燥痰
條血	瘀血
足 冷	足冷
足 三	足三
足 少	足少
足附	足跗
足瘦	足痿
足祉	足趾
존 재	존재
尊痲疹	蕁麻疹
尊片	萼片
卒中瘦	卒中痙
종 류	종류
種 子	種子
腫\*	腫大
鍾骨	踵骨
腫膽	腫膿
種腾	種臍
腫膜	腫脹
腫膜	腫膿
種膀	種臍
腫服	腫脹
腫腹	腫脹
縱梭	縱稜
腫癌	腫痞
腫張	腫脹
腫中	膻中
縱稷	縱稜
腫臭	腥臭
腫蕩	腫瘍
좋 	좋
좋 을	좋을
좋이이:	좋아야
좌 절	좌절
座攀	痙攣
죄우	좌우
죄측	좌측
주 변	주변
주 위	주위
주 일 	주일 
主 之	主之
主A	主人
周悸	周痺
周库	周痺
湊黎	蒺藜
凑黎	蒺藜
週遙散	逍遙散
酒疲	酒痰
晝黃	薑黃
竹？H 	竹茹
竹\?5	竹茹
竹歷	竹瀝
竹药	竹茹
竹苑	竹茹
竹前溫	竹茹溫
竹節	竹茹
竹妬	竹茹
竹환	竹茹
줄 기	줄기
줄수	줄 수
중 간정도	중간 정도
仲 景	仲景
중 요	중요
중 요한	중요한
中 院	中脘
中 诸	中渚
중간정도	중간 정도
中柩	中樞
中堵	中渚
重獨	重濁
中潘	中渚
中臂俞	中膂俞
중상	증상
中胺	中脘
中腕	中脘
중요 한 	중요한 
中院	中脘
中猪	中渚
中诸	中渚
中骸	中髎
중후군	증후군
즐 	즐
증 가	증가
증 상	증상
症 狀	症狀
증 후	증후
증가 되	증가되
증가 된	증가된
증과치료	증과 치료
증상 을 	증상을 
증상 이 	증상이 
증상이 \^\^난다	증상이 나타난다
증싱	증상
증후 군	증후군
之 	之
之 A	之人
지 고 	지고 
지 굴근	지굴근
지 긋	지긋
지 기 	지기 
지 난	지난
지 면 	지면 
지 속	지속
지 역	지역
지 절	지절
之 症	之症
지 지	지지
지 湯\)	지황)
지\"살	자살
之A	之人
지P로	지므로
地檢	地楡
枳穀	枳殼
止極	止痙
止涛	止瀉
止铜	止痢
肢量	眩暈
止漠	止瀉
지만이 	지만 이 
지맥\(遲M	지맥(遲脈
肢冒	眩冒
지못	지 못
止捧	止痒
紙婦	姙婦
知相地黃	知栢地黃
之腺	之臟
枝薛丸	枝茯苓丸
止瘦	止痙
紙娠	姙娠
枳實蓮白	枳實薤白
지않	지 않
地愉	地楡
지을신경	자율신경
지이\^go	자아ego
지이■	자아
지이•	자아
지이•이	자아이
止嚼	止嘔
知梯	知悌
止清	止瀉
肢最	眩暈
止湯	止瀉
지湯\)	지황)
止择	止痒
지특징	지 특징
止幅	止嘔
之贿	之腑
肢暈	眩暈
肢晕	眩暈
직 임	직임
직 장	직장
직 접	직접
織灸	鍼灸
稷線	稜線
織盛	熾盛
唇	脣
塵	壅
鎮	鎭
진 단	진단
진 찰	진찰
진 피	진피
진 행	진행
秦\^	秦艽
秦II	秦艽
振구	梔子
進滅	進鍼
眞武끓	眞武湯
眞武淸	眞武湯
眞武港	眞武湯
眞武황	眞武湯
鎮物	鑛物
진사실	진 사실
鎭瘦	鎭痙
振水 音	振水音
진우탕	진무탕
振子	梔子
秦표	秦艽
陳下1季	臍下悸
진행 되	진행되
蔯蒿港	蔯蒿湯
질 문	질문
질 병	질병
질 환	질환
疾 患	疾患
侄IJ	倒
질수	질 수
跌風	祛風
질환 을 	질환을 
집이•	잡아
짓 	짓
짓정어	짓찧어
懲	鬱
懲結	鬱結
癥瘕發背	癰疽發背
癥瘕瀉傷	癰疽潰瘍
癥瘕瘡毒	癰疽瘡毒
癥瘕瘡瘍	癰疽瘡瘍
澄黃	橙黃
짖먹이	젖먹이
짧 	짧
짧碑	越婢
쨌 	쨌
쩜질	찜질
쪽끝	쪽 끝
쪽다리	쪽 다리
쪽면	쪽 면
쪽무릎	쪽 무릎
쪽손	쪽 손
쪽어깨	쪽 어깨
쪽지역	쪽 지역
쯤된 	쯤 된 
찌 꺼	찌꺼
ᄎ	大
ᄎ建中	大建中
ᄎ棄	大棗
ᄎ腦	大腦
ᄎ裏	大棗
ᄎ補	大補
ᄎ承氣	大承氣
ᄎ柴胡	大柴胡
ᄎ宗	大宗
ᄎ黃	大黃
ㅊ	大
扯關	趾關
次骸	次髎
着悸	着痺
착긱	착각
着疼	着痺
着痒	着痺
賛	贅
賛抚	贅疣
纂本	藁本
赞傷	燙傷
参	參
참 조	참조
參藍	蓼藍
참쌀	찹쌀
참지아	참자아
蒼 朮	蒼朮
蒼Tit	蒼朮
倉角	皂角
窓論殁	窓論攷
窓論放	窓論攷
窓論汝	窓論攷
瘡不能言	瘖不能言
瘡傷	瘡瘍
槍泄	飱泄
瘡蘇	瘡癬
蒼었仁	薏苡仁
瘡癒	瘡癰
搶轉	捻轉
瘡济	瘡疥
搶挫	捻挫
瘡蕩	瘡瘍
唱吐	嘔吐
찾 	찾
찾이	찾아
채 취	채취
寨本	藁本
책 임	책임
凄	痿
처 럼	처럼
처 방	처방
처 음	처음
處 置	處置
처 해	처해
凄靡	萎靡
凄薄	痿薄
凄璧	痿躄
妻縮	萎縮
척 도	척도
척 수	척수
척 추	척추
薦	瀉
迁	迂
천 식	천식
川 휴	川芎
天\)漏	天牖
天A相	天人相
川g辛夷	川芎辛夷
天騰	天牖
天麻場	天麻湯
擅鼻	犢鼻
川写	川芎
薦心湯	瀉心湯
天牆	天牖
擅竹	攢竹
薦肺	瀉肺
薦下	瀉下
天骸	天髎
薦血	瀉血
川혹	川芎
天豁	天谿
喘效	喘欬
川휴	川芎
叠	疊
清	淸
清	瀉
青	靑
淸 熱	淸熱
清肝	瀉肝
淸悸	淸淨
淸窮	淸竅
靑黨	靑黛
淸獨	淸濁
淸療	潰瘍
靑萬	菁蒿
淸發	淸竅
清白	瀉白
淸傷	潰瘍
靑嵩	靑蒿
淸癌	潰瘍
청藥	芍藥
靑育I湯	靑龍湯
靑育틀	靑龍
淸毅	淸穀
廳頂	巓頂
淸瘡	潰瘍
請請	譩譆
淸蕩	潰瘍
淸痛	潰瘍
清肺	瀉肺
淸疲敗	淸瘟敗
淸下劑	瀉下劑
清火	瀉火
淸痕	潰瘍
滞	滯
체 계	체계
체 적	체적
체 중	체중
체 질	체질
체 형	체형
쳤 	쳤
초 래	초래
초方	古方
焦張	焦脹
触	蝕
촉 지	촉지
촉 진	촉진
燭 活	獨活
觸痛	蠲痛
燭活	獨活
촌구 맥	촌구맥
村后方	肘后方
총 괄	총괄
총門冬 湯	麥門冬湯
總荀	總苞
總茵	總苞
最 近	最近
최 대	최대
枢	樞
추 구	추구
抽捲	抽搐
抽搖	抽搐
抽揺	抽搐
抽搭	抽搐
축 농	축농
蓄膜	蓄膿
축식#기	축삭돌기
축식돌	축삭돌
逐癒	逐瘀
逐疲	逐瘀
출 혈	출혈
출감팅	출감탕
출무탕	출부탕
충 동	충동
충 분	충분
充盛	亢盛
蟲張	蠱脹
充進	亢進
充活	羌活
췌\(勝\)	췌(膵)
취 급	취급
取 穴	取穴
측 굴	측굴
측 면	측면
측 부	측부
측 정	측정
측甘	苓甘
측桂교甘	苓桂朮甘
측歸	芎歸
측墓	苓薑
側臂	側彎
側相	側栢
層乾	脣乾
驰	弛
치 료	치료
治 療	治療
치 성	치성
治 準繩	治準繩
治\^例	治驗例
齒艱	齒齦
致裹	致藁
痴狂	癲狂
齒紐	齒衄
治療痿症	治療效果
치료처방	치료 처방
痴瘤	癲癎
齒離	齒齦
致薬	致藁
致養	致藁
齒銀	齒齦
梔子藥皮	梔子蘗皮
痴疾	癎疾
治疲	治痰
痴皮	痂皮
則 	則
친 다\.	친다.
七敷	七竅
針	鍼
沉	沈
침 구사	침구사
沈IJi	沈脈
沈繁	沈緊
沈運	沈遲
沈秦元	沈麝元
枕核	桃核
칭출	창출
캠술	캡슐
컨 대	컨대
컴플텍스	콤플렉스
케하	케 하
케한다	케 한다
켜 야 	켜야 
켰 	켰
콜 린	콜린
콤 플	콤플
크 	크
큰 술	큰술
큰도움	큰 도움
키 고 	키고 
키 닌	키닌
킨 다	킨다
킬수	킬 수
타 나	타나
타 난	타난
타 내	타내
墮塞	壅塞
墮盛	壅盛
吞	呑
诞	涎
灘腫	癰腫
嘆弦	瞑眩
脫K	脫肛
脫旺	脫肛
脫紅	脫肛
搭	痞
搭滿	痞滿
搭鞭	痞鞭
湯슴	湯合
蕩心湯	瀉心湯
湯火	瀉火
汰	(太
笞	苔
兑	兌
戻	戾
태 도	태도
太 陽	太陽
태 어	태어
太艱	太谿
태양 병	태양병
太陽中嘔	太陽中暍
苔曰	答曰
太湖	太淵
太豁	太谿
澤溝	澤瀉
澤涛	澤瀉
澤薦	澤瀉
澤清	澤瀉
턴藥	芍藥
테 리	테리
테 이	테이
텐신 Ⅱ 	텐신Ⅱ
텐신 II 	텐신Ⅱ
텐신Ⅱ	텐신Ⅱ
텐신II 	텐신Ⅱ
토!	퇴
토！	퇴
토I	퇴
吐紐	吐衄
吐膽	吐膿
吐逆	嘔逆
吐逆感	嘔逆感
吐薦	吐瀉
吐清	吐瀉
吐蕩	吐瀉
吐篇	吐瀉
吐疲	吐痰
통 점	통점
통 제	통제
통 증	통증
痛 症	痛症
통 찰	통찰
통 합	통합
통 해	통해
痛癎	癲癎
通艱	通竅
痛硬	痞硬
痛库	痛痒
通鼓	通竅
痛과 癎	癲과 癎
痛과 狂	癲과 狂
痛狂	癲狂
痛滿	痞滿
痛病多由痰	癲病多由痰
痛痺瘡	痛痒瘡
痛痒	痛痺
痛痒感	瘙痒感
通遙散	逍遙散
通遥散	逍遙散
痛爲心血不足	癲爲心血不足
通毅	通竅
통중	통증
痛疾	癲疾
痛鞭	痞鞭
桶皮	橘皮
腿間	膈間
退滅	退鍼
退醫	退翳
投 與	投與
透疼	透疹
투사 pro	투사pro
透渗	透疹
偷誠	偷鍼
투시pro	투사pro
투여 군	투여군
툭 별	특별
툭 징	특징
트 레	트레
특 별	특별
특 정	특정
특 징	특징
특 히	특히
특窮	芎藭
특歸	芎歸
튼 튼	튼튼
틀 	를 
틀師	醫師
틑 	를 
티 스	티스
파 괴	파괴
파 민	파민
파 악	파악
播库	搔痒
巴료	巴豆
播痺	搔痒
破癒	破癥
播溺	搐搦
辦	瓣
판 단	판단
판 정	판정
辦囊	澼囊
辦膜	瓣膜
팔 꿈	팔꿈
팔 미지황	팔미지황
八 黄丸	八味地黄丸
八\^!黃 丸	八味地黃丸
팔미 지	팔미지
八雜黃丸	八味地黃丸
八八顿黃효	八味地黄丸
八舰黃丸	八味地黃丸
八骸	八髎
沛	疝
牌	脾
敗驚	敗醬
敗毒했	敗毒散
敗蠻	敗醬
敗磐	敗醬
敗碧	敗醬
敗營	敗醬
敗藝	敗醬
敗醫	敗醬
敗暫	敗醬
敗將	敗醬
敗籍	敗醬
敗蓄	敗醬
敗활	敗醬
팬찮	괜찮
膨\*	膨大
膨腹	膨脹
펌근	폄근
鞭	鞕
篇 j	篇」
便 秘	便秘
편 평	편평
篇j	篇』
便賈	便覽
便塘	便溏
便糖	便溏
편두 통	편두통
扁昔\I	扁鵲
篇心湯	瀉心湯
偏擁	偏癱
便이 묶	便이 묽
偏充	偏亢
평7\|	평가
平A	平人
苹藍	葶藶
苹麓	葶藶
平濱	平瀉
平曙散	平胃散
폐 렴	폐렴
蔽 血	瘀血
肺腹	肺脹
肺瘦	肺癰
肺瘦	肺痿
肺癒	肺癰
肺張	肺脹
肺凄	肺痿
蔽下	腋下
蔽血	瘀血
蔽後	腋後
褒	痰
포 함	포함
褒多	痰多
葡萄	葡萄
抱疼	疱疹
泡疼	疱疹
炮墓	炮薑
褒蜜	痰壅
泡渗	疱疹
葡荀	葡葍
抱疫	疱疹
泡疫	疱疹
炮炎	炮炙
褒飮	痰飮
抱子	梔子
炮晝	炮薑
포함 하	포함하
褒咳	痰咳
炮畫	炮薑
幅	嘔
暴庫	暴癉
폭歸	芎歸
暴石	礬石
幅惡	嘔惡
幅逆	嘔逆
幅逆	吐逆
暴瘡	暴瘖
幅吐	嘔吐
幅血	嘔血
폴라보	플라보
폴라시	플라시
표 \(S\)	표(表)
表 面	表面
표杏甘石	麻杏甘石
표현 하	표현하
풀라스	플라스
풀라시	플라시
疯	瘀
風 熱	風熱
풍\(膨	풍(風)
豊角	皂角
風疼	風疹
風摔	風痺
風濕痒	風濕痺
風疲	風痰
風痕	風痰
프 	프
픈것	픈 것
픈쪽	픈 쪽
픈팔	픈 팔
플 러	플러
피 네	피네
疲 勞	疲勞
피 부	피부
皮 膚	皮膚
披 針	披針
皮穀	皮殼
疲多	痰多
皮疼	皮疹
피로 하	피로하
疲攀	痙攣
疲斑	瘀斑
皮膚滅	皮膚鍼
疲盛	痰盛
皮痒	皮痺
疲涎	痰涎
疲軟	痠軟
疲熱	痰熱
疲熱	瘀熱
避遙	逍遙
疲飮	痰飮
疲이	痰이
疲因	痰因
疲核	痰核
疲弦	痰眩
疲血	瘀血
疲火	痰火
必 	必
필 수	필수
필 요	필요
필 자	필자
筆 丸	睾丸
필연 적	필연적
筆丸	睾丸
하 건대	하건대
하 게	하게
하 게 	하게 
하 고 	하고 
하 기	하기
하 기 	하기 
하 는	하는
하 는 	하는 
하 는이	하는 이
하 다\.	하다.
하 더	하더
하 도록	하도록
하 려	하려
下 利	下利
하 며	하며
하 면 	하면 
하 므	하므
하 여 	하여 
하 지	하지
下 肢	下肢
하 지 	하지 
하 지도	하지도
하 지만	하지만
하\^ 	하는 
하H로	하므로
하P로	하므로
하게 \^다\.	하게 된다.
하게하	하게 하
하겨 	하여 
하고 \^음	하고 있음
하고그	하고 그
霞溝	蠡溝
하기도한	하기도 한
下铜	下痢
下铜 	下痢
하루3	하루 3
下利 不止	下利不止
하므로써	함으로써
下敷	下竅
嚇不下	嚥不下
霞砂	蠶砂
瑕石膏	煆石膏
하여이 	하여 이 
瑕用	煆用
下院	下脘
하지 만 	하지만 
下蔽	下腋
下骸	下髎
下險	下瞼
학 자	학자
학 적으로	학적으로
鶴甲	鼈甲
鶴冠	鷄冠
鶴구	鷄子
鶴內金	鷄內金
鶴尿	鷄屎
鶴蛋	鷄蛋
确石	硝石
鶴心	瀉心
學人門	學入門
鶴子	鷄子
鶴掌	鵝掌
학지들	학자들
한 다\.	한다.
한 다고	한다고
한 다는	한다는
寒 凉	寒凉
한 분류	한분류
汗 出	汗出
寒ffi	寒疝
한가지	한 가지
한것	한 것
한것이	한 것이
한게	한 게
한결과	한 결과
한경우	한 경우
한곳	한 곳
한과정	한 과정
한근거	한 근거
한근육	한 근육
한느낌	한 느낌
한다음	한 다음
한디	한다
한디\(그림	한다(그림
한디<그림	한디(그림
한방의 학의	한방의학의
한방의 학적	한방의학적
한번	한 번
한부분	한 부분
한분류	한 분류
한사람	한 사람
한상태	한 상태
한상황	한 상황
한설명	한 설명
한손	한 손
한藥	芍藥
한운동	한 운동
한응용	한 응용
한임상	한 임상
한자세	한 자세
한종자	한 종자
한증상	한 증상
한쪽	한 쪽
한차이	한 차이
한첩	한 첩
한치료	한 치료
한통증	한 통증
한편이 	한편 이 
한효과	한 효과
한효능	한 효능
한후 	한 후 
寒痕	寒痰
할 수록	할수록
할것	할 것
할경우	할 경우
할때	할 때
할뿐	할 뿐
할수	할 수
할수 있	할 수 있
할수없	할 수 없
할수있	할 수 있
喊	噦
함 께	함께
함 유	함유
銜奇	衒奇
함께	 함께
喊味	鹹味
陷四	陷凹
喊逆	喊逆
함유 되	함유되
闔	闔
陕	陜
合 谷	合谷
合 編	合編
합氣丸	腎氣丸
합병 증	합병증
항 상	항상
항생제	 항생제
港合	湯合
抗賢	抗腎
解 S 湯	解毒湯
해 결	해결
解 毒	解毒
해 독탕	해독탕
해 서 	해서 
해 서는	해서는
해 야 	해야 
해 져	해져
해 지고	해지고
해 지면	해지면
해 진다	해진다
解 表	解表
해결정	해 결정
解溪	解谿
解顧	解顱
해독 탕	해독탕
解毒끓	解毒湯
解毒淸	解毒湯
解毒海	解毒湯
해득탕	해독탕
海螺銷	海螵蛸
解絡	解谿
解蠻	解鬱
해백\(難白	해백(薤白
解變	解鬱
解瘦	解痙
해야 \^■다\.	해야 한다.
해야하	해야 하
해야한다	해야 한다
咳淨	咳悸
解怠	懈怠
咳疲	咳痰
解豁	解谿
핵 심	핵심
햇 	햇
햇별	햇볕
했 	했
행 동	행동
行悸	行痺
행군다	헹군다
행동회상ctin	행동화actin
行滅	行鍼
行痒	行痺
鄉	鄕
향 상	향상
향 한	향한
향 해	향해
响斜	喎斜
香薷	香薷
虚	虛
许	忤
허 리	허리
허 약	허약
虛 弱	虛弱
허 증	허증
虛腺	虛脹
虛張	虛脹
許淺	許浚
헉습	학습
憲\^仁	薏苡仁
憲었仁	薏苡仁
憲졌	薏苡
험藥	芍藥
険陽	陰陽
險弦	瞼弦
혀 지	혀지
賢	腎
현 기증	현기증
현 상	현상
현 실	현실
현\(玄\)	현(弦)
弦景	眩暈
懸驚	懸釐
賢氣	腎氣
현기 증	현기증
眩量	眩暈
현맥\(弦膨	현맥(弦脈)
玄夢	玄蔘
賢水	腎水
賢陽	腎陽
賢爲	腎爲
賢은	腎은
賢陰	腎陰
眩章	眩暈
賢藏	腎藏
賢臓	腎臓
賢精	腎精
縣鍾	懸鍾
賢之	腎之
玄參	玄蔘
弦最	眩暈
賢虛	腎虛
弦暈	眩暈
혈 관	혈관
혈 류	혈류
혈 압	혈압
혈 액	혈액
穴 位	穴位
혈\(船	혈(血)
혈OflL\)	혈(血)
血祛癒	血祛瘀
血裙于	血菀于
血铜	血痢
血麻	血瘀
血每	血海
血攀	血鬱
血散癒	血散瘀
혈소 판	혈소판
혈어\(血疲	혈어(血瘀
血癒	血瘀
血蔽	血瘀
血疲	血瘀
血險氣	血隧氣
血痕	血瘀
嫌蟲	蟅蟲
侠	俠
挟	挾
狭	狹
협 조	협조
脅曲	彎曲
狹茶	茯苓
狭茶	茯苓
脇肪	脇肋
狭爷	茯苓
俠裕	俠谿
脇助	脇肋
狭측	茯苓
俠豁	俠谿
狭흑	茯苓
형 성	형성
형 식	형식
형 태	형태
荆茶	荊芥
형藥	芍藥
衡逆	衝逆
형中益氣	補中益氣
慧！茨仁	薏苡仁
慧甘	薏甘
慧抜	薏苡
慧졌仁	薏苡仁
壶	壼
戸	戶
호 르	호르
호 르몬	호르몬
浩 然	浩然
호 흡	호흡
호I	회
毫減	毫鍼
毫滅	毫鍼
號拍	琥珀
호卜	화
毫誠	毫鍼
호藥	芍藥
호톱기	호흡기
乎賢	乎腎
호홉	호흡
호ㅏ	화
혹歸膠	芎歸膠
渾渴	渾濁
混獨	混濁
渾獨	渾濁
혼들	흔들
혼墓	苓薑
昏憤	昏憒
昏情	昏憒
혼히	흔히
홈홈	흠흠
홉기	흡기
홉수	흡수
홉연	흡연
홉입	흡입
紅綠	紅絳
紅幕	紅蔘
紅門	肛門
홍미	흥미
홍분	흥분
홍쇄	흉쇄
弘數	洪數
鴻心	瀉心
洪ᄎ	洪大
紅參	紅蔘
홑트	흩트
화 0X\)	화(火)
花 粉	花粉
花 序	花序
禾IJ	利
花董	花蕾
火戀	火鬱
化膜	化膿
火蠻	火鬱
花弯	花萼
火滅	火鍼
花滅	花鍼
花薄	花萼
花辨	花瓣
禍斜	喎斜
화藥	芍藥
火傲	火熾
化癒	化瘀
花稳	花穗
花尊	花萼
畫汁	薑汁
火織	火熾
火懲	火鬱
花측	茯苓
花痛	花癲
花辦	花瓣
化褒	化痰
化疲	化痰
禾骸	禾髎
畫黃	薑黃
化痕	化痰
확 실	확실
확 인	확인
확藥	芍藥
확羊	羚羊
擴鄉	檳榔
焕	煥
환 경	환경
환 자	환자
喚覺	嗅覺
宦角	皂角
환外의사	환자-의사
환지들	환자들
歡滯	鬱滯
環層	環脣
활 동	활동
활 발	활발
활용 되	활용되
활吐	嘔吐
活血化疲	活血化瘀
黃 S 	黃芪
황 금	황금
况 禁	呪禁
黃 金	黃金
黃 連	黃連
黃 民	黃芪
黃 帝	黃帝
黃S	黃芪
黃柜	黃柏
凰徑	鼠徑
黃考	黃耆
黃夸	黃芩
黃夸湯	黃芩湯
黃禁	黃芩
况禁	呪禁
黃茶	黃芩
黃答	黃苔
黃度湯	黃芪湯
黃等	黃芩
黃掠色	黃棕色
黃萬	黃芪
黃蔑	黃芪
黄苗	黄耆
况巫	呪巫
黃民	黃芪
黃民끓	黃芪湯
皇甫證	皇甫謐
黃복	黃芩
黃賦	黃膩
黄奢 湯	黄耆湯
黃相	黃栢
黃植	黃疸
荒薪子	茺蔚子
黃芸	黃芪
黃耳	黃芩
黃者易	黃芪湯
黃者淸	黃芪湯
黃者湯	黃芪湯
黃者황	黃芪湯
黃帝內®	黃帝內經
黃直	黃疸
黃측	黃芩
黃특	黃芩
黃폭	黃芩
黃혹	黃芩
黃桓	黃疸
黃효	黃芪
黃흑	黃芩
黃痕	黃疸
贿	腑
회 복	회복
회 전	회전
회복용	회 복용
栃子	梔子
徊蟲	蛔蟲
懷懷	懊憹
获	茯
获茶	茯苓
获答	茯苓
获等	茯苓
获神	茯神
获爷	茯苓
획인	확인
获측	茯苓
获품	茯苓
获혼	茯苓
获홉	茯苓
获훈	茯苓
获휴	茯苓
获흉	茯苓
获흡	茯苓
横	橫
횡금	황금
橫腸膜	橫膈膜
橫鄉	檳榔
効	效
효 과	효과
효 능	효능
효 험	효험
효과 가 	효과가 
효과 적	효과적
효괴	효과
效唾	欬唾
횽삼	홍삼
후 박탕	후박탕
後 世	後世
후 통	후통
후桂	苓桂
後茶	茯苓
厚朴끓	厚朴湯
厚朴易	厚朴湯
厚賦	厚膩
喉摔	喉痺
喉娥	喉蛾
喉痒	喉痺
喉嚷	喉嚨
候條j	候條』
喉擦	喉痺
喉嘴	喉嚨
後측	茯苓
